cliente_inactivo,frecuencia_compra,gasto_total_acumulado,cantidad_total_comprada,ticket_promedio,dias_desde_ultima_compra,frecuencia_mensual_compra,numero_categorias_distintas,numero_productos_distintos,canal_mas_utilizado,descuento_promedio_utilizado,segmento,edad,genero,ciudad_cliente,distrito_cliente
0,20,3272.22,36.0,163.611,10,1.4285714285714286,6,19,Tienda Física,12.8505,Ocasional,41.0,F,Arequipa,Paucarpata
1,17,6373.38,38.0,374.90470588235297,74,1.2142857142857142,6,16,Tienda Física,11.331176470588234,Nuevo,42.0,M,Trujillo,Mansiche
0,11,4278.360000000001,22.0,388.94181818181823,24,1.375,5,11,Tienda Física,11.483636363636363,Regular,35.0,F,Lima,Jesus María
0,16,3206.190720331997,34.0,200.3869200207498,69,1.4545454545454546,5,16,Tienda Física,13.567333333333334,Regular,24.0,M,Cusco,Santiago
0,20,5492.62,47.0,274.631,182,1.25,6,19,Tienda Física,12.2915,Regular,18.0,F,Lima,San Miguel
0,15,2581.4,44.0,184.3857142857143,55,1.3636363636363635,5,15,Tienda Física,11.49,Regular,39.0,M,Trujillo,La Merced
0,13,5804.4,23.0,446.4923076923077,24,1.0833333333333333,6,13,Tienda Física,12.221538461538461,Nuevo,41.0,F,Lima,Barranco
0,15,1870.1813241278394,29.0,124.67875494185596,68,1.25,5,15,Tienda Física,12.008000000000001,Nuevo,35.0,F,Arequipa,Cayma
0,10,4639.09,14.0,463.909,25,1.1111111111111112,5,10,Tienda Física,11.388000000000002,Regular,18.0,F,Trujillo,Vista Alegre
0,20,11175.130000000001,45.0,558.7565000000001,13,1.3333333333333333,6,20,Tienda Física,10.2425,Premium,31.0,M,Trujillo,Mansiche
0,18,2565.96,44.0,142.55333333333334,24,1.125,6,18,Tienda Física,11.845555555555556,Ocasional,32.0,M,Lima,Barranco
0,13,2174.3993451241404,24.0,167.26148808647233,199,1.3,5,13,Tienda Física,12.225384615384616,Nuevo,34.0,M,Lima,Miraflores
1,11,4888.599999999999,21.0,444.4181818181818,13,1.2222222222222223,5,11,Tienda Física,12.337272727272728,Regular,30.0,F,Lima,La Molina
0,6,4794.97,12.0,799.1616666666667,76,1.0,5,6,Tienda Física,11.891666666666666,Ocasional,44.0,F,Lima,Magdalena
0,18,2999.6400000000003,41.0,166.64666666666668,85,1.2857142857142858,5,18,Tienda Física,12.671666666666667,Regular,30.0,F,Arequipa,Cayma
0,18,7116.75,37.0,395.375,7,1.6363636363636365,5,18,Tienda Física,14.825000000000001,Regular,36.0,F,Trujillo,Centro
