id_producto,id_tienda,stock,stock_minimo,stock_maximo,costo_almacenamiento,ultima_actualizacion
1,1,19.0,3.0,28.0,3.77,2025-12-23
1,2,25.0,5.0,37.0,3.88,2025-12-24
1,3,16.0,3.0,24.0,4.58,2025-12-08
1,4,18.0,3.0,27.0,2.51,2025-12-21
1,5,19.0,3.0,28.0,4.01,2025-12-26
1,6,20.0,4.0,30.0,2.26,2025-12-16
1,7,17.0,3.0,25.0,3.12,2025-12-11
1,8,23.0,4.0,34.0,5.24,2025-12-08
1,9,20.0,4.0,30.0,3.77,2025-12-19
1,10,19.0,3.0,28.0,4.12,2025-12-24
1,11,23.0,4.0,34.0,2.05,2025-12-05
1,12,6.0,0.0,10.0,0.0,2025-12-31
2,1,24.0,4.0,36.0,1.82,2025-12-19
2,2,17.0,3.0,25.0,3.1,2025-12-29
2,3,12.0,2.0,18.0,2.79,2025-12-22
2,4,21.0,4.0,31.0,2.36,2025-12-23
2,5,26.0,5.0,39.0,2.26,2025-12-16
2,6,27.0,5.0,40.0,3.01,2025-12-02
2,7,22.0,4.0,33.0,3.79,2025-12-24
2,8,22.0,4.0,33.0,3.84,2025-12-13
2,9,14.0,2.0,21.0,1.72,2025-12-23
2,10,19.0,3.0,28.0,2.38,2025-12-11
2,11,21.0,4.0,31.0,1.62,2025-12-02
2,12,6.0,0.0,10.0,0.0,2025-12-25
3,1,46.0,9.0,69.0,2.45,2025-12-16
3,2,54.0,10.0,81.0,1.24,2025-12-21
3,3,,9.0,67.0,2.18,2025-12-13
3,4,58.0,11.0,87.0,2.07,2025-12-30
3,5,62.0,12.0,93.0,1.2,2025-12-09
3,6,68.0,13.0,102.0,2.65,2025-12-21
3,7,48.0,9.0,72.0,3.03,2025-12-28
3,8,56.0,11.0,84.0,3.43,2025-12-20
3,9,57.0,11.0,85.0,1.47,2025-12-26
3,10,53.0,10.0,79.0,1.99,2025-12-20
3,11,48.0,9.0,72.0,1.71,2025-12-06
3,12,9.0,0.0,10.0,0.0,2025-12-30
4,1,42.0,8.0,63.0,1.41,2025-12-06
4,2,50.0,10.0,75.0,1.11,2025-12-23
4,3,55.0,11.0,82.0,1.71,2025-12-22
4,4,56.0,11.0,84.0,1.66,2025-12-06
4,5,41.0,8.0,61.0,0.81,2025-12-26
4,6,40.0,8.0,60.0,1.56,2025-12-29
4,7,51.0,10.0,76.0,2.13,2025-12-26
4,8,55.0,11.0,82.0,1.96,2025-12-19
4,9,38.0,7.0,57.0,1.45,2025-12-12
4,10,45.0,9.0,67.0,1.0,2025-12-13
